SCENARIO_CODE,FEATURE_URL,FEATURE FILE,SCENARIO_TITLE,SCENARIO,POINTS,Capitalize Gherkin keywords,Limit the number of steps per scenario to a maximum of ten,Line length: Limit the number of characters in each step,Number of syllables per word,Use proper spelling,Use proper grammar,Capitalize the first letter of the first word in a scenario title,Do not use punctuation at the end of step phrases,Use single spaces between words,Indent the content beneath every section header,Do not separate steps within a scenario by blank lines,Use of non-technical language,Do not capitalize words in the step phrases unless they are proper nouns,Follow steps order (Given-When-Then),Separate one scenario from another scenario by one blank line,Space table delimiter pipes (“|”) evenly,"Write all tag names in lowercase, and use hyphens to separate words",Limit the length of tag names to one-third of a scenario title,Use tabular presentation for complex information,Do not use legal jargon,Avoid repetition of steps,Provide a title for each scenario
P01_F04_SC_01,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,task_again.feature,Switch back to the oldest task again (on the task listing),"  Scenario: Switch back to the oldest task again (on the task listing)
    Given I am signed in as a new user
    And it is ""1/3/2010 8:13:23 AM""
    And I have a task ""Read emails"" that started ""10m"" ago
    And I have a task ""Something else"" that started ""5m"" ago
    And I am on the tasks page
    When I press ""Again"" in the oldest task
    Then I should see ""Task was successfully switched back to again.""
    And I should see ""8:13:23 AM"" start in task 1
    And I should see ""Read emails"" title in task 1",4.95,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F05_SC_01,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,task_duration.feature,1 minute duration,"  Scenario: 1 minute duration
    Given I am signed in as a new user
    And I have a ""1m"" task
    When I am on the tasks page
    Then I should see ""1m""",4.95,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F06_SC_01,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,task_error_time_gap.feature,Fill time gap,"  Scenario: Fill time gap
    Given I am signed in as a new user
    And it is ""1/3/2010 8:13:23 AM""
    And I have a task ""Oldest"" that started ""10m"" ago
    And I have a task ""Old"" that started ""6m"" ago
    And I have a task ""With STOP!"" that started ""3m"" and stopped ""1m"" ago
    When I have a task ""New"" that started ""0s"" ago
    And I am on the tasks page
    Then I should see ""Error: Time gap!"" title in task 2",4.95,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F07_SC_01,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,task_for_each_user.feature,Users should not see each others tasks,"  Scenario: Users should not see each others tasks
    Given I am signed in as a new user ""test1@timefliesby.com""
    And I have a task ""Task 1 from user: test1""
    And I am on the tasks page
    And I should see ""Task 1 from user: test1""
    When I follow ""Sign out""
    And I am signed in as a new user ""test22@timefliesby.com""
    And I am on the tasks page
    Then I should not see ""Task 1 from user: test1""",4.95,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F08_SC_01,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,task_stop_validation.feature,Validation error for stop before start,"  Scenario: Validation error for stop before start
    Given I am signed in as a new user
    And I am on the new task page
    When I fill in ""task_start"" with ""1/21/2010 8:38 PM""
    When I fill in ""task_stop"" with ""1/21/2010 8:30 PM""
    And I press ""Create""
    Then I should see ""Stop needs to be greater than start.""",4.91,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F09_SC_01,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,task_switch.feature,New task using 'Switch Now',"  Scenario: New task using 'Switch Now'
    Given I am signed in as a new user
    And it is ""1/3/2010 8:13:23 AM""
    And I am on the new task page
    When I press ""Switch Now""
    Then I should see ""Task was successfully created.""
    And I should see ""1/3/2010 08:13:23""
    And I should see ""Active""
    And I should see ""0s""",5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F09_SC_02,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,task_switch.feature,Duration on new task using 'Switch Now',"  Scenario: Duration on new task using 'Switch Now'
    Given I am signed in as a new user
    And it is ""1/3/2010 8:13:23 AM""
    And I have a ""1m"" task
    And I am on the new task page
    When I press ""Switch Now""
    Then I should see ""Task was successfully created.""
    And I should see ""1/3/2010 08:13:23""
    And it is ""1/3/2010 8:13:24 AM""
    And I reload the page
    And I should see ""1s""",4.95,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F09_SC_03,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,task_switch.feature,Duration on current task,"  Scenario: Duration on current task
    Given I am signed in as a new user
    And it is ""1/3/2010 8:13:23 AM""
    And I am on the new task page
    When I press ""Switch Now""
    Then I should see ""Task was successfully created.""
    And I should see ""1/3/2010 08:13:23""
    And I should see ""0s""",4.95,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F09_SC_04,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,task_switch.feature,Duration on previous task,"  Scenario: Duration on previous task
    Given I am signed in as a new user
    And it is ""1/3/2010 8:13:23 AM""
    And I have a ""1m"" task
    And I am on the new task page
    When I press ""Switch Now""
    And I follow ""Back""
    Then I should see ""1m"" duration in task 2",4.95,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F10_SC_01,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,task_time.feature,Create a task,"  Scenario: Create a task
    Given I am signed in as a new user
    And I am on the new task page
    When I fill in ""task_start"" with ""12/28/2009 2:30 PM""
    And I fill in ""task_stop"" with ""12/28/2009 2:31 PM""
    And I press ""Create""
    Then I should see ""Task was successfully created.""
    And I should see ""12/28/2009 14:30:00""
    And I should see ""12/28/2009 14:31:00""",5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F10_SC_02,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,task_time.feature,"Require start when using ""Create""","  Scenario: Require start when using ""Create""
    Given I am signed in as a new user
    And I am on the new task page
    When I fill in ""task_title"" with ""Bad test""
    And I press ""Create""
    Then I should see ""Start is not a valid datetime""",5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F10_SC_03,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,task_time.feature,Update a task shows correct US time format,"  Scenario: Update a task shows correct US time format
    Given I am signed in as a new user
    And I am on the new task page
    And I fill in ""task_start"" with ""1/2/2011 2:30 PM""
    And I fill in ""task_stop"" with ""1/2/2011 2:31 PM""
    And I press ""Create""
    And I should see ""Task was successfully created.""
    And I follow ""Edit""
    When I press ""Update""
    Then I should see ""Task was successfully updated.""
    And I should see ""1/2/2011 14:30:00""
    And I should see ""1/2/2011 14:31:00""",4.86,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P02_F01_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,adv_registration_invitation.feature,I can't access invite page without login as an advisor,"Scenario: I can't access invite page without login as an advisor
  Given we are currently in a semester
  And I am a mentor teacher
  And I go to /invites
  Then I should not be located at ""/invites""
  And I should see ""You don't have permission to access that page""",4.86,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P02_F01_SC_02,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,adv_registration_invitation.feature,I can't access add user page without login as an advisor,"Scenario: I can't access add user page without login as an advisor
  Given we are currently in a semester
  And I am a mentor teacher
  And I go to /user/adv_new
  Then I should not be located at ""/user/adv_new""
  And I should see ""You don't have permission to access that page""",4.82,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P02_F01_SC_03,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,adv_registration_invitation.feature,I can invite a person,"Scenario: I can invite a person
  Given we are currently in a semester
  And I am signed up as a student advisor
  And I am on the login page
  And I fill in ""Email"" with ""myemail@nowhere.com""
  And I fill in ""Password"" with ""1234""
  And I press ""Login""
  Then I should be located at ""/settings""
  When I go to /invites
  Then I should be located at ""/invites""
  And I follow ""New Invite""
  Then I should be located at ""/invites/new""
  And I select ""Student"" from ""Owner type""
  And I fill in ""First name"" with ""sangyoon""
  And I fill in ""Last name"" with ""park""
  And I fill in ""Email"" with ""sangp@email.com""
  And I press ""Save""
  Then I should be located at ""/invites""
  And I should see ""Invite was successfully created""
  And I should see ""sangp@email.com""
#  And I should see ""[Invite]""
#  When I follow ""[Invite]""
#  Then I should see ""Invite sent to sangp@email.com""
#  And I should see ""Invited""",4.86,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
P02_F01_SC_04,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,adv_registration_invitation.feature,I can't invite a blank email,"Scenario: I can't invite a blank email
  Given we are currently in a semester
  And I am signed up as a student advisor
  And I am on the login page
  And I fill in ""Email"" with ""myemail@nowhere.com""
  And I fill in ""Password"" with ""1234""
  And I press ""Login""
  Then I should be located at ""/settings""
  When I go to /invites
  Then I should be located at ""/invites""
  And I follow ""New Invite""
  Then I should be located at ""/invites/new""
  And I press ""Save""
  Then I should be located at ""/invites""
  And I should see ""There was a problem inviting a user""
  And I should see ""Email can't be blank""",4.91,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
P02_F01_SC_05,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,adv_registration_invitation.feature, I can add/edit/delete a user,"Scenario: I can add/edit/delete a user
  Given we are currently in a semester
  And I am signed up as a student advisor
  And I am on the login page
  And I fill in ""Email"" with ""myemail@nowhere.com""
  And I fill in ""Password"" with ""1234""
  And I press ""Login""
  Then I should be located at ""/settings""
  When I go to /user/adv_new
  Then I should see ""Add an account""
  And I select ""Student"" from ""Owner type""
  And  I fill in ""First name"" with ""testuser1""
  And  I fill in ""Last name"" with ""TEST""
  And  I fill in ""Street address"" with ""testaddress""
  And  I fill in ""City"" with ""testcity""
  And  I fill in ""State"" with ""CA""
  And  I fill in ""Zipcode"" with ""testzip""
  And  I fill in ""Phone number"" with ""123-456-7890""
  And  I fill in ""Email"" with ""testuser@test.edu""
  And  I fill in ""Password"" with ""1234""
  And  I fill in ""Password confirmation"" with ""1234""
  And  I press ""Register""
  Then I should be located at ""/students""
  And I should see ""Students""
  And I should see ""testuser@test.edu""
  When I go to /user/2/adv_edit
  Then I should see ""Edit Account""
  And the ""user_first_name"" field should contain ""testuser1""
  And the ""user_last_name"" field should contain ""TEST""
  And the ""user_street_address"" field should contain ""testaddress""
  And the ""user_city"" field should contain ""testcity""
  And the ""user_state"" field should contain ""CA""
  And the ""user_zipcode"" field should contain ""testzip""
  And the ""user_phone_number"" field should contain ""123-456-7890""
  And the ""user_email"" field should contain ""testuser@test.edu""
  And the ""user_password"" field should not contain ""1234""
  Then I fill in ""user_first_name"" with ""editeduser999""
  And I fill in ""user_email"" with ""changed@email.com""
  And I press ""Update""
  Then I should be located at ""/students""
  And I should see ""editeduser999""
  And I should see ""changed@email.com""
  And I should not see ""testuser1""
  And I should not see ""testuser@test.edu""
  Then I follow ""Delete""
  Then I should see ""User 'changed@email.com' deleted""
  And I should not see ""editeduser999""",4.68,5,1,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
P02_F02_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,advisor_can_change_pairings.feature,Student Advisor should be able to see field placement,"	Scenario: Student Advisor should be able to see field placement
		Given the following assignments exist
			| user_id | timeslot_id  |
			| 3		     | 1			|

		When I go to /students/3/semesters/1/edit_placements
		Then I should see ""Monday""
		Then I should see ""8:00 AM to 9:00 AM""
		Then I should see ""Physics""
		Then I should see ""High School""
		Then I should see ""Berkeley High""
		Then I should see ""Oski Bear""",4.64,5,4,3,3,5,5,5,5,5,5,4,5,5,5,5,3,5,5,5,5,5,5
P02_F02_SC_02,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,advisor_can_change_pairings.feature,Student Advisor should be able to remove old field placement,"	Scenario: Student Advisor should be able to remove old field placement
		Given the following assignments exist
			| user_id | timeslot_id |
			| 3		  | 1			|

		When I go to /students/3/semesters/1/edit_placements
		Then I should see ""Monday""
		Then I should see ""8:00 AM to 9:00 AM""
		Then I should see ""Physics""
		Then I should see ""High School""
		Then I should see ""Berkeley High""
		Then I should see ""Oski Bear""
	    Then I should see ""Remove""                                  
		Then I follow ""Remove""
		Then I should see ""The selected placement has been removed""
		Then I should not see ""Monday""
		Then I should not see ""8:00 AM to 9:00 AM""
		Then I should not see ""Physics""
		Then I should not see ""High School""
		Then I should not see ""Berkeley High""
		Then I should not see ""Oski Bear""",4.68,5,3,4,4,5,5,5,5,5,5,4,5,5,5,5,3,5,5,5,5,5,5
P02_F02_SC_03,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,advisor_can_change_pairings.feature,Student Advisor should be able to add new field placement,"    Scenario: Student Advisor should be able to add new field placement
    
		When I go to /students/3/semesters/1/edit_placements
		Then I should not see ""Monday""
		Then I should not see ""8:00 AM to 9:00 AM""
		Then I should not see ""Physics""
		Then I should not see ""High School""
		Then I should not see ""Berkeley High""
		Then I should not see ""Oski Bear""
		When I fill in ""new_timeslot"" with ""1""
		And I press ""Update""
		Then I should see ""Monday""
		Then I should see ""8:00 AM to 9:00 AM""
		Then I should see ""Physics""
		Then I should see ""High School""
		Then I should see ""Berkeley High""
		Then I should see ""Oski Bear""
	    Then I should see ""Remove""",4.86,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5
P02_F03_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,cal_faculty_my_mentor_teachers.feature,Login as a cal_faculty and see my menus,"Scenario: Login as a cal_faculty and see my menus
  Given I am on the login page
  And I fill in ""Email"" with ""calfaculty@berk.edu""
  And I fill in ""Password"" with ""1234""
  And I press ""Login""
  Then I should be located at ""/cal_faculty/home""
  And I follow ""Fall 2012""
  And I follow ""My Mentor Teachers""
  Then I should be located at ""/cal_faculty/my_mentor_teachers""",4.82,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P02_F03_SC_02,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,cal_faculty_my_mentor_teachers.feature,should see list of my mentor teachers enrolled in my cal_course,"Scenario: should see list of my mentor teachers enrolled in my cal_course
  Given I am on the login page
  And I fill in ""Email"" with ""calfaculty@berk.edu""
  And I fill in ""Password"" with ""1234""
  And I press ""Login""
  And I follow ""Fall 2012""
  And I follow ""My Mentor Teachers""
  Then I should see ""mentor1""
  And I should not see ""mentor2""
  And I should not see ""mentor3""
  And I should not see ""stud1""
  And I should not see ""stud2""
  And I should not see ""stud3""",4.73,5,4,5,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P02_F04_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,cal_faculty_my_students.feature,Login as a cal_faculty and see my menus,"Scenario: Login as a cal_faculty and see my menus
  Given I am on the login page
  And I fill in ""Email"" with ""calfaculty@berk.edu""
  And I fill in ""Password"" with ""1234""
  And I press ""Login""
  And I follow ""Fall 2012""
  And I follow ""My Students""",4.91,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P02_F04_SC_02,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,cal_faculty_my_students.feature,should see list of my students enrolled in my cal_course,"Scenario: should see list of my students enrolled in my cal_course
  Given I am on the login page
  And I fill in ""Email"" with ""calfaculty@berk.edu""
  And I fill in ""Password"" with ""1234""
  And I press ""Login""
  And I follow ""Fall 2012""
  And I follow ""My Students""
  Then I should see ""stud1""
  And I should not see ""stud2""
  And I should see ""stud3""",4.77,5,5,5,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P02_F05_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,enter_course_roster_district.feature,Student course selections should show up on courses page,"    Scenario: Student course selections should show up on courses page
        Given I am logged in as oski@berkeley.edu
		When I go to /students/1/semesters/1/select_courses
		And I check ""UGIS 80A""
		And I check ""UGIS 80B""
		And I press ""Save""
		Then I should be at url /students/1/semesters/1/courses/1/select_timeslots/monday
		When I go to /students/1/semesters/1/courses
		Then I should see ""UGIS 80A""
		Then I should see ""UGIS 80B""
		Then I should not see ""ED 130""
		Then I should not see ""ED 195C""
		Then I should not see ""UGIS 187""
		Then I should not see ""UGIS 81A""
		Then I should not see ""MATH 197""",4.64,5,4,2,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P02_F06_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,link_cal_courses_to_courses.feature,Add succesfully a Cal Course,"Scenario: Add succesfully a Cal Course
    When I go to /cal_courses
    And I follow ""Fall 2012""
    And I follow ""New Course""
  And  I fill in ""Name"" with ""Educ 101""
  And  I check ""timeslots[1]""
  And  I press ""Save""
  Then I should be located at ""/cal_courses/3""
  And I should see /Educ 101/
  And I should see /Monday.*08:00AM.*09:00AM/
  And I should see /Bob Ross/
  And I should not see /Precalc/
  And I should not see /Ren Gar/",4.77,5,4,5,5,4,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5
P02_F06_SC_02,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,link_cal_courses_to_courses.feature,Add a Cal Course with errors,"Scenario: Add a Cal Course with errors
    When I go to /cal_courses
    And I follow ""Fall 2012""
    And I follow ""New Course""
  And  I fill in ""Name"" with """"
  And  I check ""timeslots[1]""
  And  I press ""Save""
  Then I should see /Name can't be blank/",4.82,5,5,5,5,5,5,5,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5
P02_F06_SC_03,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,link_cal_courses_to_courses.feature,Check the Index Page and delete action,"Scenario: Check the Index Page and delete action
    When I go to /cal_courses
    And I follow ""Fall 2012""
  Then I should see /Educ 111/
  And I should see /Math 101/
  And I should not see /Educ 101/
  And I follow ""Destroy""
  And I should see ""'Educ 111' succesfully destroyed.""
  And I should see /Math 101/
  And I should not see /Educ 101/",4.86,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5
P02_F06_SC_04,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,link_cal_courses_to_courses.feature,Check the Index Page sorting feature,"Scenario: Check the Index Page sorting feature
    When I go to /cal_courses
    And I follow ""Fall 2012""
  Then I should see /Educ 111/
  And I should see /Math 101/
  And I follow ""Name""
  Then I should see ""Educ 111"" before ""Math 101""",4.86,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5
P02_F06_SC_05,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,link_cal_courses_to_courses.feature,Check the Show page,"Scenario: Check the Show page
  Given I am in the CalCourse show 1 page
  Then I should see ""Educ 111""
  And I should not see /Educ 101/
  And I should not see /Middle School/
  And I should not see /High School/
  And I should not see /Calculus/
  And I should not see /Monday.*08:00AM.*09:00AM/
  And I should see /Bob Ross/
  And I should see /Precalc/
  And I should see /Monday.*09:00AM.*10:00AM/
  And I should not see /Ren Gar/
  And I should not see /Math/
  And I should not see /Tuesday.*11:00AM.*12:00AM/
  And I should not see /Tuesday.*12:00AM.*01:00PM/",4.91,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
P02_F06_SC_06,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,link_cal_courses_to_courses.feature,Check the Edit Page,"Scenario: Check the Edit Page
  Given I am in the CalCourse edit 1 page
  And the ""cal_course_name"" field should contain ""Educ 111""
  And I should see /Bob Ross/
  And I should see /Ren Gar/
  And I should see /El Cerrito High/
  And I should see /Ocean View/
  And I should see /Monday.*08:00AM.*09:00AM/
  And I should see /Monday.*09:00AM.*10:00AM/
  And I should not see /Tuesday.*11:00AM.*12:00AM/
  And I should not see /Tuesday.*12:00AM.*01:00PM/
  And  I check ""timeslots[1]""
  And  I press ""Save""
  Then I should be located at ""/cal_courses/1""
  And I should see /Educ 111/
  And I should not see /Tuesday.*11:00AM.*12:00AM/
  And I should not see /Tuesday.*12:00AM.*01:00PM/
  And I should see /Monday.*08:00AM.*09:00AM/
  And I should see /Monday.*09:00AM.*10:00AM/
  And I should not see /Math/
  And I should see /Calculus/
  And I should see /Precalc/
  And I should see /Bob Ross/
  And I should not see /Ren Gar/",4.82,5,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5
P02_F07_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,mentor_teacher_schedule.feature,Save the times and classes that I teach,"Scenario: Save the times and classes that I teach
  When I go to /mentor_teacher/schedule/new
  And I add the following timeslots on Monday:
   | class_name | start     | end      | num_assistants |
   | Algebra    | 10:00  AM | 11:00 AM |              2 |
   | Prealgebra | 1:00 PM   | 2:30 PM  |              1 |
  And I add the following timeslots on Tuesday:
   | class_name | start_time | end_time | num_assistants |
   | Algebra    | 10:00  AM  | 11:00 AM |              2 |
  And  I press ""Save Schedule""

  Then I should be at url /mentor_teacher/schedule

  And my schedule should look like: 
  | day     | class_name | start     | end      | num_assistants |
  | Monday  | Algebra    | 10:00  AM | 11:00 AM |              2 |
  | Monday  | Prealgebra | 1:00 PM   | 2:30 PM  |              1 |
  | Tuesday | Algebra    | 10:00  AM | 11:00 AM |              2 |",4.55,5,4,5,5,5,3,5,5,5,5,3,4,5,5,5,1,5,5,5,5,5,5
P02_F07_SC_02,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,mentor_teacher_schedule.feature,Enter in details for the times and classes I teach,"Scenario: Enter in details for the times and classes I teach
  When I go to /mentor_teacher/schedule/new?semester_id=1
  And I create the following event on the calendar on Monday:
   | start    | end      |
   | 10:00 AM | 11:00 AM |
  Then the ""timeslot[start_time(4i)]"" field should contain ""10""
  And the ""timeslot[end_time(4i)]"" field should contain ""11""
  When I select ""Algebra"" from ""class_name""
  And I select ""12 PM"" from ""timeslot_end_time_4i""
  And I save the event
  Then I should see ""Algebra""",4.82,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5
P02_F08_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/bsmi-master/features,one_click_matching.feature,I haven't already run the matching algorithm,"Scenario: I haven't already run the matching algorithm
  Given I am signed up as a student advisor
  Given I am logged in as myemail@nowhere.com
  Given the following semesters exist
     | name | year |
     | Fall | 2012 |
  Given I am on /matching/new  
  When I press ""match_all""
  Then I should be on /matching",4.82,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5
